,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,image_url
10,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Metapod,50.0,11,25,25,30,bug,,9.9,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
11,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,Butterfree,50.0,12,90,80,70,bug,flying,32.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
12,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,70,195,255,Hairy Pokémon,30,1000000,0.3,40,Weedle,50.0,13,20,20,50,bug,poison,3.2,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
13,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,Kakuna,50.0,14,25,25,35,bug,poison,10.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
14,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,70,495,45,Poison Bee Pokémon,40,1000000,1.0,65,Beedrill,50.0,15,15,80,145,bug,poison,29.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
15,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,Pidgey,50.0,16,35,35,56,normal,flying,1.8,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,349,120,Bird Pokémon,55,1059860,1.1,63,Pidgeotto,50.0,17,50,50,71,normal,flying,30.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,45,Bird Pokémon,80,1059860,1.5,83,Pidgeot,50.0,18,135,80,121,normal,flying,39.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
18,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,255,Mouse Pokémon,35,1000000,,30,Rattata,50.0,19,25,35,72,normal,dark,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,127,Mouse Pokémon,70,1000000,,75,Raticate,50.0,20,40,80,77,normal,dark,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
20,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,Spearow,50.0,21,31,31,70,normal,flying,2.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
21,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,Fearow,50.0,22,61,61,100,normal,flying,38.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
22,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,255,Snake Pokémon,44,1000000,2.0,35,Ekans,50.0,23,40,54,55,poison,,6.9,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
23,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,Arbok,50.0,24,65,79,80,poison,,65.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
24,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachu,50.0,25,50,50,90,electric,,6.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
25,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75,Mouse Pokémon,50,1000000,,60,Raichu,50.0,26,95,85,110,electric,electric,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
26,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,255,Mouse Pokémon,90,1000000,,50,Sandshrew,50.0,27,10,35,40,ground,ice,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90,Mouse Pokémon,120,1000000,,75,Sandslash,50.0,28,25,65,65,ground,ice,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
28,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,235,Poison Pin Pokémon,52,1059860,0.4,55,Nidoran♀,0.0,29,40,40,41,poison,,7.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
29,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,Nidorina,0.0,30,55,55,56,poison,,20.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
30,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueen,0.0,31,75,85,76,poison,ground,60.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
31,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,235,Poison Pin Pokémon,40,1059860,0.5,46,Nidoran♂,100.0,32,40,40,50,poison,,9.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
32,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,Nidorino,100.0,33,55,55,65,poison,,19.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
33,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidoking,100.0,34,85,75,85,poison,ground,62.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
34,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
35,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,Clefable,24.6,36,95,90,60,fairy,,40.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
36,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,190,Fox Pokémon,40,1000000,,38,Vulpix,24.6,37,50,65,65,fire,ice,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75,Fox Pokémon,75,1000000,,73,Ninetales,24.6,38,81,100,109,fire,ice,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
38,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
39,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50,Balloon Pokémon,45,800000,1.0,140,Wigglytuff,24.6,40,85,50,45,normal,fairy,12.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
40,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,255,Bat Pokémon,35,1000000,0.8,40,Zubat,50.0,41,30,40,55,poison,flying,7.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
41,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,90,Bat Pokémon,70,1000000,1.6,75,Golbat,50.0,42,65,75,90,poison,flying,55.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
42,"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,255,Weed Pokémon,55,1059860,0.5,45,Oddish,50.0,43,75,65,30,grass,poison,5.4,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
43,"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,120,Weed Pokémon,70,1059860,0.8,60,Gloom,50.0,44,85,75,40,grass,poison,8.6,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
44,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,Vileplume,50.0,45,110,90,50,grass,poison,18.6,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
45,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,Paras,50.0,46,45,55,25,bug,grass,5.4,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
46,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,75,Mushroom Pokémon,80,1000000,1.0,60,Parasect,50.0,47,60,80,30,bug,grass,29.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
47,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,190,Insect Pokémon,50,1000000,1.0,60,Venonat,50.0,48,40,55,45,bug,poison,30.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
48,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,75,Poison Moth Pokémon,60,1000000,1.5,70,Venomoth,50.0,49,90,75,90,bug,poison,12.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
49,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,255,Mole Pokémon,30,1000000,,10,Diglett,50.0,50,35,45,90,ground,ground,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,50,Mole Pokémon,60,1000000,,35,Dugtrio,50.0,51,50,70,110,ground,ground,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
51,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,,40,Meowth,50.0,52,50,40,90,normal,dark,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
52,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,90,Classy Cat Pokémon,60,1000000,,65,Persian,50.0,53,75,65,115,normal,dark,,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
53,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,190,Duck Pokémon,48,1000000,0.8,50,Psyduck,50.0,54,65,50,55,water,,19.6,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
54,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,Golduck,50.0,55,95,80,85,water,,76.6,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
55,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,Mankey,50.0,56,35,45,70,fighting,,28.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
56,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,75,Pig Monkey Pokémon,60,1000000,1.0,65,Primeape,50.0,57,60,70,95,fighting,,32.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
57,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,190,Puppy Pokémon,45,1250000,0.7,55,Growlithe,75.4,58,70,50,60,fire,,19.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
58,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,Arcanine,75.4,59,100,80,95,fire,,155.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
59,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,Poliwag,50.0,60,40,40,90,water,,12.4,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
60,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,385,120,Tadpole Pokémon,65,1059860,1.0,65,Poliwhirl,50.0,61,50,50,90,water,,20.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
61,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,Poliwrath,50.0,62,70,90,70,water,fighting,54.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
62,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,70,310,200,Psi Pokémon,15,1059860,0.9,25,Abra,75.4,63,105,55,90,psychic,,19.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
63,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,70,400,100,Psi Pokémon,30,1059860,1.3,40,Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
64,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,70,600,50,Psi Pokémon,65,1059860,1.5,55,Alakazam,75.4,65,175,105,150,psychic,,48.0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
65,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,180,Superpower Pokémon,50,1059860,0.8,70,Machop,75.4,66,35,35,35,fighting,,19.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
66,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,5120,70,405,90,Superpower Pokémon,70,1059860,1.5,80,Machoke,75.4,67,50,60,45,fighting,,70.5,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
